REQ_SERIAL,RISUID,reson  bik,tavalod,tahol,ttakafol,basavad-bisavad,RQ_RLDATE,elat-gath,RISUID,edu,mablag,age,label 
2.57E+12,43282479,2,13520110,2,4,1,,1,43282479,,4871250,45,1
2.57E+12,41558321,2,13621020,2,0,1,,1,41558321,,3030000,34,1
2.57E+12,43269769,1,13540708,2,2,1,13,1,43269769,,2196000,42,1
2.57E+12,43261533,6,13491209,2,1,1,,1,43261533,,3303000,47,1
2.57E+12,43261533,6,13491209,2,1,1,,1,43261533,,3303000,47,1
2.57E+12,43261533,6,13491209,2,1,1,,1,43261533,,3303000,47,1
2.57E+12,43261533,6,13491209,2,1,1,,1,43261533,,3303000,47,1
2.57E+12,43284000,2,13560601,2,3,1,,1,43284000,13,3030000,41,1
2.57E+12,43288077,6,13630127,2,2,1,,1,43288077,19,4871250,34,1
2.57E+12,43288078,2,13410403,2,2,1,,1,43288078,17,4871250,56,1
2.57E+12,43288056,2,13650220,2,0,1,,1,43288056,17,3303000,32,1
2.57E+12,41560410,2,13650225,1,0,1,,1,41560410,,4871250,32,1
2.57E+12,43265961,2,13540907,2,3,1,,1,43265961,,7124250,42,1
2.57E+12,43267198,6,13491006,2,3,1,,1,43267198,17,11112690,47,1
2.57E+12,41627244,1,13540519,2,3,1,13,1,41627244,,2196000,43,1
2.57E+12,43412930,1,13570610,2,2,1,13,1,43412930,,2635200,40,1
2.57E+12,43412930,1,13570610,2,2,1,13,1,43412930,,2196000,40,1
2.57E+12,43412930,1,13570610,2,4,1,13,1,43412930,,2635200,40,1
2.57E+12,43412930,1,13570610,2,4,1,13,1,43412930,,2196000,40,1
2.57E+12,13562819,12,13551111,2,3,1,,1,13562819,,11112690,41,1
2.57E+12,43288153,1,13580525,2,0,1,,1,43288153,20,4871250,39,1
2.57E+12,43288110,2,13681118,2,0,1,,1,43288110,17,3897000,28,1
2.57E+12,43252802,1,13251001,2,1,2,13,1,43252802,12,2196000,71,1
2.57E+12,43272016,1,13570107,1,0,1,13,1,43272016,14,2196000,40,1
2.57E+12,43288108,2,13690704,2,0,1,,1,43288108,17,3303000,27,1
2.57E+12,43277381,1,13560502,2,1,1,13,1,43277381,,2196000,41,1
2.57E+12,43428505,2,13651201,2,3,1,,1,43428505,,7124250,31,1
2.57E+12,80057420,1,13480402,2,3,1,13,1,80057420,,2196000,49,1
2.57E+12,21220080,2,13590631,2,1,1,,1,21220080,,3030000,38,1
2.57E+12,43287388,2,13471107,2,3,1,,1,43287388,17,6089100,49,1
2.57E+12,28031519,2,13590601,2,2,1,,1,28031519,,3030000,38,1
2.57E+12,44076710,2,13610904,2,4,1,,1,44076710,,3030000,35,1
2.57E+12,43280972,2,13621020,2,2,1,,1,43280972,14,3303000,34,1
2.57E+12,43288184,2,13430328,2,2,1,,1,43288184,14,7124250,54,1
2.57E+12,43262975,6,13530118,2,3,1,,1,43262975,13,9299310,44,1
2.57E+12,43288233,2,13560301,2,3,1,,1,43288233,14,11112690,41,1
2.57E+12,43288235,2,13610327,2,0,1,,1,43288235,20,3897000,36,1
2.57E+12,43275711,2,13470105,2,3,1,,1,43275711,17,3897000,50,1
2.57E+12,43269811,1,13560115,2,2,1,13,1,43269811,,2196000,41,1
2.57E+12,76573877,2,13610507,2,2,1,,1,76573877,14,3030000,36,1
2.57E+12,43278432,2,13650631,2,2,1,,1,43278432,13,8571780,32,1
2.57E+12,43278432,2,13650631,2,2,1,,1,43278432,13,3303000,32,1
2.57E+12,43278432,2,13650631,2,3,1,,1,43278432,13,8571780,32,1
2.57E+12,43278432,2,13650631,2,3,1,,1,43278432,13,3303000,32,1
2.57E+12,43288186,2,13660701,2,2,1,,1,43288186,17,8121660,31,1
2.57E+12,43288215,2,13440423,2,2,1,,1,43288215,13,4871250,53,1
2.57E+12,43258530,1,13340111,2,1,2,13,1,43258530,,3030000,63,1
